Employee_ID,Age,Gender,Industry,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Sleep_Quality
EMP0001,32,Non-binary,Healthcare,Hybrid,47,7,2,Medium,Depression,No,Decrease,1,Unsatisfied,Good
EMP0002,40,Female,IT,Remote,52,4,1,Medium,Anxiety,No,Increase,3,Satisfied,Good
EMP0003,59,Non-binary,Education,Hybrid,46,11,5,Medium,Anxiety,No,No Change,4,Unsatisfied,Poor
EMP0004,27,Male,Finance,Onsite,32,8,4,High,Depression,Yes,Increase,3,Unsatisfied,Poor
EMP0005,49,Male,Consulting,Onsite,35,12,2,High,,Yes,Decrease,3,Unsatisfied,Average
EMP0006,59,Non-binary,IT,Hybrid,39,3,4,High,,No,Increase,5,Unsatisfied,Average
EMP0007,31,Prefer not to say,IT,Remote,51,7,3,Low,Anxiety,Yes,Decrease,5,Neutral,Poor
EMP0008,42,Non-binary,Manufacturing,Onsite,54,7,3,Medium,Depression,No,Decrease,5,Satisfied,Average
EMP0009,56,Prefer not to say,Healthcare,Hybrid,24,4,2,High,,Yes,Decrease,2,Unsatisfied,Poor
EMP0010,30,Female,IT,Hybrid,57,6,1,Low,Depression,Yes,Decrease,2,Neutral,Poor
EMP0011,33,Non-binary,Finance,Remote,48,3,3,High,,Yes,Decrease,4,Satisfied,Average
EMP0012,47,Female,Consulting,Hybrid,26,12,4,Medium,,Yes,No Change,4,Neutral,Poor
EMP0013,40,Female,Consulting,Remote,21,7,2,High,Depression,Yes,Decrease,2,Neutral,Good
EMP0014,51,Non-binary,Manufacturing,Hybrid,45,13,1,Low,Anxiety,No,Decrease,2,Satisfied,Poor
EMP0015,36,Prefer not to say,Retail,Remote,59,11,3,High,Anxiety,Yes,Decrease,5,Neutral,Average
EMP0016,56,Female,Healthcare,Remote,44,11,4,Low,Anxiety,No,No Change,5,Satisfied,Average
EMP0017,33,Prefer not to say,Education,Onsite,52,9,2,Medium,,No,No Change,1,Satisfied,Good
EMP0018,45,Non-binary,Consulting,Onsite,37,8,3,Low,Burnout,Yes,Decrease,5,Neutral,Good
EMP0019,49,Non-binary,IT,Remote,36,6,1,High,Anxiety,No,No Change,3,Satisfied,Good
EMP0020,59,Male,Consulting,Remote,59,4,3,Medium,Anxiety,No,Decrease,4,Neutral,Average
EMP0021,26,Female,Retail,Hybrid,21,1,2,Low,Burnout,No,Increase,2,Satisfied,Poor
EMP0022,26,Non-binary,Education,Onsite,54,12,3,Medium,Depression,No,Decrease,3,Unsatisfied,Poor
EMP0023,43,Prefer not to say,Finance,Onsite,57,1,3,Low,Depression,Yes,Increase,3,Satisfied,Average
EMP0024,53,Non-binary,Consulting,Onsite,22,12,5,Low,Depression,No,No Change,2,Neutral,Poor
EMP0025,56,Male,Finance,Remote,54,15,3,Low,Burnout,No,Increase,2,Neutral,Average
EMP0026,49,Male,Healthcare,Onsite,21,14,4,High,Burnout,No,No Change,4,Neutral,Good
EMP0027,36,Non-binary,Retail,Onsite,24,12,3,High,,No,Decrease,4,Unsatisfied,Poor
EMP0028,53,Female,Retail,Onsite,56,4,4,Low,Depression,No,No Change,4,Unsatisfied,Poor
EMP0029,47,Prefer not to say,IT,Onsite,33,10,3,High,Depression,Yes,Decrease,4,Satisfied,Poor
EMP0030,59,Male,Healthcare,Remote,25,15,2,High,Depression,Yes,No Change,3,Satisfied,Poor
EMP0031,22,Female,IT,Onsite,20,11,1,Low,Anxiety,Yes,No Change,5,Neutral,Average
EMP0032,37,Prefer not to say,Manufacturing,Hybrid,33,14,2,Medium,Depression,No,Decrease,3,Satisfied,Average
EMP0033,45,Prefer not to say,Manufacturing,Remote,20,14,2,Medium,Anxiety,Yes,Decrease,5,Satisfied,Good
